Orthogroup	111	GCF_017603965.1_ASM1760396v1_protein	GCF_022117535.1_ASM2211753v1_protein	GCF_900379835.1_GBBC_2088_protein	GCF_900380015.1_JVD-0051_protein	GCF_900380035.1_NCPPB_1822_protein	GCF_900380065.1_PD_2659_protein	GCF_900380085.1_PD_2662_protein	GCF_900380095.1_PD_2905_protein	GCF_900380115.1_PD_4314_protein	GCF_900380125.1_PD_3160_protein	GCF_900380135.1_PD_4932_protein	GCF_900380145.1_PD_4634_protein	GCF_900380235.1_PD_885_protein
OG0000010				WP_002801519.1, WP_108775393.1, WP_108796837.1, WP_159088708.1, WP_159088895.1, WP_159088917.1, WP_159088958.1, WP_159088982.1, WP_159089005.1, WP_159089036.1, WP_159089047.1	WP_002802516.1, WP_108775393.1, WP_108780281.1, WP_108790333.1, WP_108835139.1, WP_159087917.1, WP_159088718.1, WP_159089047.1, WP_159090331.1, WP_159091114.1, WP_159093444.1, WP_159093475.1	WP_002801519.1, WP_109170813.1, WP_109170835.1, WP_159087977.1, WP_159088708.1, WP_159088718.1, WP_159089036.1, WP_162597139.1, WP_162597226.1, WP_239425881.1, WP_275425300.1	WP_002801519.1	WP_002801519.1				WP_002801519.1	WP_002801519.1	WP_002801519.1
OG0000011				WP_002804167.1, WP_040762276.1, WP_040762278.1, WP_065975007.1	WP_002804167.1, WP_040762276.1, WP_040762278.1, WP_065975007.1	WP_088062263.1, WP_088062267.1, WP_088062269.1	WP_040762276.1, WP_065975007.1		WP_040762276.1, WP_065975007.1	WP_040762276.1, WP_065975007.1, WP_108801489.1, WP_108832274.1	WP_002804167.1, WP_040762276.1, WP_040762278.1, WP_065975007.1	WP_002804167.1, WP_040762276.1, WP_040762278.1, WP_065975007.1	WP_002804167.1, WP_040762276.1, WP_040762278.1, WP_065975007.1	WP_002804167.1, WP_040762276.1, WP_040762278.1, WP_065975007.1
OG0000012	WP_011409710.1	WP_208589444.1, WP_208591333.1, WP_238135628.1, WP_238135718.1, WP_238135736.1	WP_208589444.1, WP_238135628.1, WP_238135688.1, WP_238135718.1, WP_238135736.1	WP_145954038.1, WP_159088914.1, WP_159089007.1	WP_159087712.1, WP_159091089.1, WP_234423280.1	WP_088060998.1, WP_109170848.1, WP_162597117.1, WP_162597251.1	WP_145954109.1	WP_088060998.1	WP_159087712.1, WP_234407778.1	WP_145954038.1, WP_234407778.1	WP_145954038.1	WP_145954038.1, WP_234407778.1	WP_145954109.1, WP_301931001.1	WP_145954109.1, WP_199913111.1
OG0000013				WP_108796761.1, WP_159088886.1, WP_159088887.1, WP_159088974.1, WP_159088998.1, WP_159089015.1, WP_199915548.1	WP_108835086.1, WP_108835133.1, WP_108835147.1, WP_159093378.1, WP_234423295.1, WP_234423312.1	WP_162597238.1, WP_231895656.1, WP_234416840.1, WP_239425887.1		WP_209019702.1, WP_244614085.1	WP_159087743.1, WP_159088653.1, WP_159088663.1, WP_234418673.1, WP_234418695.1	WP_159087606.1, WP_159087635.1, WP_234407800.1, WP_234408018.1, WP_234408023.1	WP_159087743.1, WP_234410100.1	WP_159089920.1, WP_159089928.1, WP_234410100.1		
OG0000014		WP_208591843.1, WP_238135530.1, WP_238135752.1, WP_244241849.1	WP_208591843.1, WP_238135530.1, WP_238135559.1, WP_238135752.1	WP_002802295.1, WP_231892711.1	WP_002802295.1, WP_231895642.1	WP_002802295.1, WP_231895642.1	WP_002802295.1, WP_231895642.1	WP_002802295.1, WP_231895642.1	WP_002802295.1, WP_231895642.1	WP_002802295.1, WP_231892711.1	WP_002802295.1, WP_231892711.1	WP_002802295.1, WP_231892711.1	WP_002802295.1, WP_231895642.1	WP_002802295.1, WP_231895642.1
OG0000015	WP_011346095.1, WP_011348008.1, WP_039005675.1	WP_208587045.1, WP_279631227.1	WP_208587045.1, WP_279631227.1	WP_040762079.1, WP_145954043.1	WP_108834493.1, WP_159087710.1	WP_088061697.1, WP_134656624.1	WP_088056717.1, WP_145954043.1	WP_088061697.1, WP_134656624.1	WP_108834493.1, WP_159087710.1	WP_040762079.1, WP_145954043.1	WP_040762079.1, WP_145954043.1	WP_040762079.1, WP_145954043.1	WP_088056717.1, WP_145954043.1	WP_088056717.1, WP_145954043.1
OG0000016		WP_208586877.1	WP_208586877.1	WP_145954052.1	WP_145954052.1	WP_145953980.1	WP_234419603.1, WP_234419608.1	WP_167701810.1, WP_209019683.1, WP_209019692.1	WP_159088659.1, WP_234409143.1, WP_234418666.1	WP_159087617.1, WP_159087625.1	WP_234417214.1, WP_234420795.1, WP_234420799.1	WP_234410097.1, WP_234410105.1, WP_234410114.1	WP_234418014.1, WP_234418015.1, WP_234418018.1	WP_159087647.1, WP_234409114.1, WP_234409143.1
OG0000017		WP_208591328.1	WP_208591328.1	WP_199915505.1, WP_199915507.1	WP_159093423.1, WP_199913834.1	WP_239425926.1	WP_159087679.1, WP_199913051.1, WP_199913052.1	WP_134656598.1, WP_209019685.1, WP_209019701.1	WP_159088660.1, WP_199913207.1	WP_199910096.1, WP_199913792.1	WP_199912710.1, WP_199912720.1	WP_159087767.1, WP_199910096.1, WP_199915092.1	WP_234418020.1, WP_234418021.1	WP_159087679.1, WP_199913051.1, WP_199913110.1
OG0000018		WP_208591889.1	WP_208591889.1	WP_108796811.1	WP_159093481.1	WP_162597243.1	WP_065975506.1, WP_088057164.1, WP_108772810.1	WP_002804298.1, WP_088062702.1	WP_002804298.1, WP_108772810.1	WP_002804298.1, WP_065975506.1, WP_108772810.1	WP_002804298.1, WP_065975506.1, WP_108772810.1	WP_002804298.1, WP_065975506.1, WP_108772810.1	WP_065975506.1, WP_108772810.1, WP_108882774.1	WP_108858329.1, WP_159087664.1, WP_159087667.1
OG0000019				WP_159088068.1, WP_159088815.1, WP_159088988.1, WP_159088989.1, WP_159089034.1	WP_159088111.1, WP_159088988.1, WP_159089565.1, WP_159093372.1, WP_159093416.1	WP_159087873.1, WP_159088815.1, WP_159089034.1, WP_159089885.1, WP_159091428.1, WP_162597192.1		WP_134656650.1	WP_159088655.1, WP_159088662.1			WP_159088645.1	WP_134656650.1, WP_159088639.1, WP_159088645.1	WP_134656650.1, WP_159087655.1, WP_159088065.1, WP_199913105.1
OG0000020	WP_104613784.1	WP_238135596.1, WP_238135597.1, WP_279631221.1, WP_279631222.1	WP_238135596.1, WP_238135597.1, WP_279631221.1, WP_279631222.1	WP_108796824.1, WP_234421245.1, WP_234421251.1, WP_234421253.1, WP_234421255.1, WP_234421257.1	WP_231892693.1, WP_234423266.1, WP_234423289.1, WP_234423307.1, WP_234423309.1	WP_231895666.1, WP_239425901.1, WP_239425903.1, WP_239425921.1, WP_239425924.1								WP_234409128.1
OG0000021	WP_011346212.1	WP_208588650.1, WP_208588651.1	WP_208588650.1, WP_208588651.1	WP_108779862.1, WP_234421241.1	WP_108835120.1, WP_301950539.1	WP_065975441.1, WP_088060952.1	WP_108772802.1, WP_108772803.1	WP_108772851.1, WP_108772852.1	WP_108772851.1, WP_108884109.1	WP_199913790.1	WP_108772802.1, WP_108772803.1	WP_108772803.1, WP_234410113.1	WP_108772802.1, WP_108772803.1	WP_108772802.1, WP_108772803.1
OG0000022				WP_159088899.1, WP_276527046.1	WP_159093420.1	WP_162597168.1, WP_231895655.1	WP_199913050.1, WP_234409126.1, WP_254213268.1	WP_209019688.1, WP_209019698.1	WP_199913206.1, WP_254210900.1	WP_199913788.1, WP_254214647.1	WP_199912709.1, WP_234409126.1, WP_254212192.1, WP_254212193.1	WP_199915088.1, WP_234409126.1	WP_199913108.1, WP_234409126.1, WP_254212193.1	WP_199913108.1, WP_234409126.1, WP_254213268.1
OG0000023		WP_208587439.1	WP_208587439.1	WP_002804344.1, WP_040762466.1	WP_040762466.1, WP_108834579.1	WP_108780021.1, WP_109170857.1	WP_040762466.1, WP_088056801.1	WP_159089777.1, WP_167701812.1	WP_159089777.1, WP_234418672.1	WP_002804344.1, WP_040762466.1	WP_002804344.1, WP_040762466.1	WP_002804344.1, WP_040762466.1	WP_040762466.1, WP_088056801.1	WP_040762466.1, WP_088056801.1
OG0000024		WP_238135614.1, WP_238135615.1, WP_244241848.1	WP_238135612.1, WP_238135614.1, WP_238135615.1	WP_108772804.1, WP_234410182.1	WP_108772804.1, WP_234423299.1	WP_231895713.1	WP_108772804.1, WP_302179662.1	WP_280176594.1	WP_108772804.1	WP_108772804.1, WP_301930996.1	WP_108772804.1, WP_301926359.1	WP_108772804.1, WP_301930996.1	WP_108772804.1, WP_301930999.1	WP_108772804.1
OG0000025		WP_208587438.1	WP_208587438.1	WP_159088751.1, WP_159088902.1, WP_159088934.1, WP_159088990.1, WP_159089008.1, WP_159089054.1, WP_276527042.1	WP_159087913.1, WP_159089617.1, WP_159090609.1, WP_159093395.1, WP_159093442.1	WP_159087913.1, WP_159094656.1, WP_162597138.1, WP_162597255.1, WP_162597263.1			WP_159088666.1	WP_159087638.1		WP_159089921.1, WP_159089926.1		
OG0000026				WP_040762741.1, WP_040762999.1	WP_040762999.1, WP_088057028.1, WP_088057055.1	WP_088060910.1, WP_109170843.1	WP_088057055.1, WP_234408258.1	WP_088061479.1, WP_234416319.1	WP_234408258.1, WP_234418039.1	WP_040762999.1, WP_234407769.1	WP_040762999.1, WP_234407769.1	WP_040762999.1, WP_234407769.1	WP_234408258.1, WP_234418039.1	WP_234408258.1, WP_234409112.1
OG0000027		WP_208586719.1	WP_208586719.1	WP_002811377.1, WP_052032122.1	WP_108834920.1, WP_181120328.1	WP_088061156.1	WP_002811377.1, WP_228438072.1	WP_088061156.1	WP_108834920.1, WP_181120328.1	WP_002811377.1, WP_052032122.1	WP_002811377.1, WP_052032122.1	WP_002811377.1, WP_052032122.1	WP_002811377.1, WP_228438072.1	WP_002811377.1, WP_228438072.1
OG0000028		WP_208587276.1	WP_208587276.1	WP_002806144.1, WP_231892761.1	WP_108834937.1, WP_234408208.1	WP_231895715.1	WP_076036043.1, WP_231892761.1	WP_231895715.1	WP_108834937.1, WP_234408208.1	WP_002806144.1, WP_231892761.1	WP_002806144.1, WP_231892761.1	WP_002806144.1, WP_231892761.1	WP_076036043.1, WP_231892761.1	WP_076036043.1, WP_231892761.1
OG0000029		WP_208591678.1, WP_238135510.1, WP_238135732.1, WP_238135733.1	WP_208591678.1, WP_238135510.1, WP_238135732.1, WP_238135733.1	WP_052032121.1, WP_108773702.1, WP_231892731.1	WP_052032121.1	WP_088062504.1	WP_199913048.1	WP_088062504.1	WP_052032121.1	WP_108808295.1		WP_199910093.1	WP_234418016.1, WP_234418017.1	WP_052032121.1, WP_234409140.1
OG0000030		WP_238135629.1, WP_238135648.1	WP_238135629.1, WP_238135648.1	WP_231892718.1, WP_231892763.1	WP_231892763.1, WP_234408243.1		WP_231892718.1, WP_231892763.1		WP_231892763.1, WP_234408243.1	WP_231892718.1, WP_231892763.1	WP_231892718.1, WP_231892763.1	WP_231892718.1, WP_231892763.1	WP_231892718.1, WP_231892763.1	WP_231892718.1, WP_231892763.1
OG0000031		WP_208587317.1, WP_208587321.1, WP_208589118.1, WP_208589899.1, WP_208589909.1	WP_208587321.1, WP_208589899.1, WP_238135545.1, WP_238135630.1, WP_238135649.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1	WP_065975397.1
OG0000032				WP_040762590.1, WP_082244253.1	WP_108834390.1	WP_088061075.1, WP_088061076.1	WP_040762590.1, WP_082244253.1	WP_088061075.1, WP_088061076.1	WP_108884092.1, WP_302179817.1	WP_040762590.1, WP_082244253.1	WP_040762590.1, WP_082244253.1	WP_040762590.1, WP_082244253.1	WP_040762590.1, WP_082244253.1	WP_040762590.1, WP_082244253.1
OG0000033				WP_159087848.1, WP_159087900.1, WP_159087954.1, WP_159088076.1, WP_159088127.1, WP_159088931.1, WP_159088964.1	WP_159087835.1, WP_159087838.1, WP_159087881.1, WP_159087900.1, WP_159088047.1, WP_159090386.1, WP_159093437.1	WP_159087835.1, WP_159087900.1, WP_159088047.1, WP_159088713.1, WP_159096875.1				WP_159087637.1		WP_159089929.1		
OG0000034				WP_197493692.1, WP_197493702.1, WP_234421268.1	WP_197493702.1, WP_199912910.1	WP_197685823.1	WP_199913049.1, WP_234419612.1	WP_197685823.1	WP_199912910.1, WP_234418686.1	WP_197493692.1, WP_197493702.1	WP_197493692.1, WP_234418686.1	WP_197493692.1, WP_197493702.1	WP_199914939.1, WP_199914944.1	WP_197493702.1, WP_197685823.1
OG0000035		WP_208587339.1, WP_208587971.1, WP_208590839.1, WP_238135541.1, WP_244241850.1	WP_208587339.1, WP_208587971.1, WP_238135541.1, WP_238135631.1, WP_238135724.1		WP_088062013.1	WP_088062013.1	WP_234407951.1	WP_088062013.1, WP_234407951.1	WP_088062013.1, WP_234407951.1	WP_234407951.1	WP_234420803.1	WP_234407951.1		
OG0000036		WP_208588511.1, WP_208590774.1, WP_208590785.1	WP_208588511.1, WP_208590774.1, WP_208590785.1	WP_156775358.1	WP_159093430.1	WP_134656607.1, WP_134656608.1	WP_234419606.1	WP_134656607.1, WP_134656608.1	WP_234418678.1	WP_156775358.1	WP_156775358.1	WP_156775358.1	WP_145954102.1, WP_145954103.1	WP_145954103.1
OG0000037				WP_065975251.1, WP_108772813.1	WP_065975251.1, WP_108835085.1	WP_088056847.1	WP_088056847.1, WP_108772813.1	WP_088056847.1	WP_065975251.1, WP_108835085.1	WP_065975251.1, WP_108772813.1	WP_065975251.1, WP_108772813.1	WP_065975251.1, WP_108772813.1	WP_088056847.1, WP_108772813.1	WP_159087682.1, WP_159087683.1
